Producto base;Descripción diseño;ID ensayo;Nombre formulación;Fecha ensayo;Resultado;Materia prima;% peso;Motivo / comentario;Producto final;Fórmula OK;Riquezas;Spec_Descripcion;Spec_Aspecto;Spec_Color;Spec_Densidad;Spec_pH;Spec_Quimica;Validacion_JSON;Fecha_Validacion
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;GLICINA;2,1;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;AL-2575 1000KG;2;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;GLICINA BETAINA ECO (ALFARIN);0,8;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;EDTA MANGANESO (AMPERE);3,9;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;NORLAN FF24/8;0;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-6;CALIDAD - ID.2025.23 FOLICAT Zn Mo Mn MUESTRA ORIGINAL (F-ORIGI);11/03/2025;OK NO LIBERADO;UREA FOLIAR;6;"EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;AGUA INICIAL;44,28;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;EDTA TETRASODICO;0,1;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;CONSERVANTE KF78;0,1;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;PROTE FOAM ESS;0,02;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;MOLIBDATO SODICO 25KG;3,9;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;GLUCONATO SODICO;3;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;SULFATO DE ZINC MONOHIDRATADO;12;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;ACIDO CITRICO MONOHIDRATADO;0,4;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;SECOFIT;20,1;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;GLICINA;2,1;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;AL-2575 1000KG;2;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;GLICINA BETAINA ECO (ALFARIN);0,8;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;EDTA MANGANESO (AKZO NOBEL);3,9;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;UREA FOLIAR;6;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;MONOPROPILENGLICOL;1;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-48;CALIDAD - FOLICAT ZnMo - Mn con Xantana F2;02/04/2025;NOK;GOMA XANTANA;0,3;"Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-47;CALIDAD - FOLICAT ZnMo - Mn con Xantana F1;02/04/2025;NOK;AGUA INICIAL;44,38;"Primera aproximación con xantana; persisten incompatibilidades y se observan grumos y ligera separación de fases.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-47;CALIDAD - FOLICAT ZnMo - Mn con Xantana F1;02/04/2025;NOK;EDTA TETRASODICO;0,1;"Primera aproximación con xantana; persisten incompatibilidades y se observan grumos y ligera separación de fases.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
FOLICAT ZNMO - MN;Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.;ID-47;CALIDAD - FOLICAT ZnMo - Mn con Xantana F1;02/04/2025;NOK;CONSERVANTE KF78;0,1;"Primera aproximación con xantana; persisten incompatibilidades y se observan grumos y ligera separación de fases.";FOLICAT ZNMO - MN;ID-74 || CALIDAD - ID.2025.41 FOLICAT Zn Mo Mn ORIGI F5;La formulación final ha logrado una solución líquida estable con el equilibrio previsto de zinc, molibdeno y manganeso. El ajuste del EDTA permitió mantener el Zn soluble y asegurar el nivel de nitrógeno dentro del rango de diseño. El producto cumple plenamente los criterios de calidad y comportamiento en estabilidad.;;;;;;;;
